"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"396","@carmenghia6 @_Randy_Matthews @al_nghothot @nana____rosaa @RegarSormin01 @Nanaa_rosaa @_SEKNAS_RI @DemokrasiKoma… https://t.co/yZRIEshtgG",FALSE,11,"carmenghia6",2018-09-10 01:05:44,TRUE,"1038955511431880704","1038956656531398656","1036997993600143361","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bertrand_russe",10,FALSE,FALSE,NA,NA
"397","RT @WeLoveChoiSiwon: 180902 - juliet.magdalena IG story update with Siwon, Super Junior at #AsianGames2018 https://t.co/7mygYPCdHS",FALSE,0,NA,2018-09-10 01:05:21,FALSE,NA,"1038956560154652672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FRdImLoGAhYnRC4",30,TRUE,FALSE,NA,NA
"398","RT @NSaina: Throwback Asian Games 2018 .... good memories #Asiangames2018 #Jakarta #bronzemedal 🥉 https://t.co/7jvPqASXA2",FALSE,0,NA,2018-09-10 01:05:11,FALSE,NA,"1038956520203931648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Manjeet67327458",138,TRUE,FALSE,NA,NA
"399","@iwanrudianto @Elang_Sutajaya1 @BUDI_PERMADI26 @detikcom @aniesbaswedan @asiangames2018 Gubernur bulan gk disebut juga? Wkwkkk",FALSE,1,"iwanrudianto",2018-09-10 01:04:47,FALSE,"1038925575451172869","1038956418055819264","66900868","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","harno_007",0,FALSE,FALSE,NA,NA
"400","RT @bennyronaldi: Mewek https://t.co/0dXWggLMPv",FALSE,0,NA,2018-09-10 01:03:56,FALSE,NA,"1038956205433995264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anggarusss",1,TRUE,FALSE,NA,NA
"401","RT @TVSATSANG_: #जांचसे_कबतक_बचेगीसरकार  
एक फौजी को10 लाख रुपये रिस्वत न देने पर जेल में डाल दिया जाता है।क्यो ऐसे भृष्ट अफसरों को बर्खास्…",FALSE,0,NA,2018-09-10 01:03:45,FALSE,NA,"1038956156561944577",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BhagatS30064525",79,TRUE,FALSE,NA,NA
"402","RT @WithPGV: Heartiest Congratulations to Sudha Singh on winning Silver medal in Women's 3000 Steeple Chase event. #AsianGames2018 #TeenMur…",FALSE,0,NA,2018-09-10 01:03:42,FALSE,NA,"1038956142976618496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Firojkh57781644",184,TRUE,FALSE,NA,NA
"403","RT @NSaina: Throwback Asian Games 2018 .... good memories #Asiangames2018 #Jakarta #bronzemedal 🥉 https://t.co/7jvPqASXA2",FALSE,0,NA,2018-09-10 01:03:40,FALSE,NA,"1038956136798408704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","parthi_ab",138,TRUE,FALSE,NA,NA
"404","RT @Ra_THORe: The biggest highlight of #AsianGames2018 is the emergence of young athletes. 

It wasn't just one of India's best evr medal h…",FALSE,0,NA,2018-09-10 01:03:39,FALSE,NA,"1038956134391074816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","poonia__G",481,TRUE,FALSE,NA,NA
"405","RT @carmenghia6: @bertrand_russe @_Randy_Matthews @al_nghothot @nana____rosaa @RegarSormin01 @Nanaa_rosaa @_SEKNAS_RI @DemokrasiKoma @m_y_e…",FALSE,0,NA,2018-09-10 01:03:38,FALSE,NA,"1038956129600978945",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bertrand_russe",10,TRUE,FALSE,NA,NA
"406","RT @Adriandhy: Terlambatnya memang cukup lumayan, saya tahu. Tapi ya masa saya nggak gambar mereka :) #Atung #Kaka #BhinBhin #AsianGames201…",FALSE,0,NA,2018-09-10 01:02:58,FALSE,NA,"1038955958666330112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Imel019",1850,TRUE,FALSE,NA,NA
"407","RT @asiangames2018: It's time to turn off the screens; close the door; dim the lights, and move towards a new day. It's been an eventful tw…",FALSE,0,NA,2018-09-10 01:02:09,FALSE,NA,"1038955754131058688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ni_besar",7361,TRUE,FALSE,NA,NA
"408","RT @asiangames2018: It's time to turn off the screens; close the door; dim the lights, and move towards a new day. It's been an eventful tw…",FALSE,0,NA,2018-09-10 01:01:54,FALSE,NA,"1038955693527560192",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","iKhairudin",7361,TRUE,FALSE,NA,NA
"409","RT @Adriandhy: Terlambatnya memang cukup lumayan, saya tahu. Tapi ya masa saya nggak gambar mereka :) #Atung #Kaka #BhinBhin #AsianGames201…",FALSE,0,NA,2018-09-10 01:01:30,FALSE,NA,"1038955591337570305",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_94562",1850,TRUE,FALSE,NA,NA
"410","RT @asiangames2018: It's time to turn off the screens; close the door; dim the lights, and move towards a new day. It's been an eventful tw…",FALSE,0,NA,2018-09-10 01:01:29,FALSE,NA,"1038955588607139840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","almiraeldn",7361,TRUE,FALSE,NA,NA
"411","RT @zainul_munas: Subhanallah..!! Puncak peringatan Hari Olahraga Nasional 2018 di Kota Ternate, sunggu luar biasa, tidak kalah menggetarka…",FALSE,0,NA,2018-09-10 01:01:28,FALSE,NA,"1038955584681213953",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bayu_adianto",36,TRUE,FALSE,NA,NA
"412","@bertrand_russe @_Randy_Matthews @al_nghothot @nana____rosaa @RegarSormin01 @Nanaa_rosaa @_SEKNAS_RI @DemokrasiKoma… https://t.co/lqOCfZaKkD",FALSE,10,"bertrand_russe",2018-09-10 01:01:11,TRUE,"1038938077668958210","1038955511431880704","999936593782714368","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","carmenghia6",10,FALSE,FALSE,NA,NA
"413","RT @asiangames2018: It's time to turn off the screens; close the door; dim the lights, and move towards a new day. It's been an eventful tw…",FALSE,0,NA,2018-09-10 01:00:55,FALSE,NA,"1038955445212172288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","h_sopia",7361,TRUE,FALSE,NA,NA
"414","RT @KemenkeuRI: Kesuksesan #AsianGames2018 bikin #IndonesiaBangga. Jangan padamkan aura positif kita. Karena akan ada pertemuan tahunan dlm…",FALSE,0,NA,2018-09-10 01:00:09,FALSE,NA,"1038955252748234752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","agung_dramoh",72,TRUE,FALSE,NA,NA
"415","Kok terharu, ya? https://t.co/O6fsaLEzNj",FALSE,0,NA,2018-09-10 01:00:04,FALSE,NA,"1038955229742432256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","matt_mp",0,FALSE,FALSE,NA,NA
